feature_index,mean_absolute_difference,changed_records
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,401.3689936536718,1103
11,0.0,0
12,0.005166446815429767,1087
13,312.6745240253853,1103
14,2.1214868540344516,26
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0021579033285227425,1090
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,0.0,0
45,0.0,0
46,0.0,0
47,0.0,0
48,0.0,0
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,0.0,0
60,0.0,0
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,0
65,0.0,0
66,0.0,0
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,0.0,0
72,0.0,0
73,0.0,0
74,0.0,0
75,0.0,0
76,0.0,0
77,0.0,0
78,0.0013450363314647389,1081
79,0.0,0
80,0.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,0.0,0
86,0.0,0
87,0.0,0
88,0.0,0
89,0.0,0
90,0.0,0
91,0.0,0
92,0.0,0
93,0.0,0
94,0.0,0
95,11.038437431980455,1081
96,0.0,0
97,0.0005910397260184383,1081
98,0.05141750207729807,1081
99,0.05081969299644961,1081
100,0.12373480727644477,1081
101,0.06755980035984181,1081
102,0.08202779865870126,1081
103,0.09110398391972643,1081
104,1.2984534892188562,1079
105,2.2790370251196466,1078
106,0.1591007376084626,1079
107,0.0076370881152688,779
108,3.8095451233366457,1059
109,3.2176341332312832,783
110,22.729516326570554,1041
111,1.7572058731063538,1001
112,2.910455614301365,726
113,0.0,0
114,0.0,0
115,0.0,0
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,0.0,0
121,0.0359393749554943,1016
122,0.0,0
123,0.0,0
124,0.0,0
125,25.768804472355225,1085
126,0.0,0
127,0.0014506963724211358,1082
128,0.0,0
129,0.0,0
130,0.0,0
131,0.0,0
132,0.0,0
133,0.0,0
134,0.0,0
135,0.0,0
136,0.0,0
137,0.0,0
138,0.0,0
139,0.0,0
140,0.0,0
141,0.10253659228465822,1085
142,0.42721016711791,1085
143,0.10334174544402716,1054
144,0.08924800011642608,936
145,0.09971805842270769,1085
146,0.1238426760122761,1085
147,0.16808241967817705,1085
148,0.2035544672989348,1085
149,0.012883356481061021,966
150,30.384568479854416,1085
151,1.177456020984667,985
152,3.235873370957396,788
153,0.12489291378453117,1024
154,11.195898923891194,992
155,1.2425286566681573,991
156,2.9753729382214065,693
157,0.0,0
158,0.0,0
159,0.0,0
160,3.7088922663158646e-05,2
161,0.08091753607755992,1075
162,0.022988187258933094,1011
163,0.0,0
164,0.0,0
165,0.0,0
166,0.0,0
167,17.43936441686082,1082
168,0.0,0
169,0.0012348282297314098,1079
170,0.0,0
171,0.0,0
172,0.0,0
173,0.0,0
174,0.0,0
175,0.026974427408233945,1082
176,0.3565250899936541,1082
177,0.03127185701783527,1082
178,0.060475028814884715,1082
179,0.08687593217125181,1082
180,0.4509035790928471,1082
181,1.0057168741822784,1082
182,0.00895814163946392,1002
183,3.4731677052170604,1058
184,7.418799181148775,922
185,3.0858653676396375,1045
186,5.869396600794597,792
187,0.0,0
188,0.0,0
189,0.0,0
190,2.94835212980739e-05,1
191,5.9659899307832e-05,3
192,0.0,0
193,0.02000390594370886,1042
194,0.0008176835363600757,1076
195,0.0004171636141330031,1079
