scope,site,role,fold,variant,branch,index,name,family,records,total_observations,finite_observations,nonfinite_count,filled_or_sentinel_count,substantial_invalid_count,zero_count,min,max,mean,std,abs_gt_5_count,abs_gt_10_count,abs_gt_20_count,abs_gt_50_count,abs_gt_5_fraction_finite,abs_gt_10_fraction_finite,abs_gt_20_fraction_finite,abs_gt_50_fraction_finite,observation_basis
global,,all,small_I0002,legacy_clip,X_ecg,0,model_HRV_MedianNN,ecg_median_nn,1103,971103,971103,0,0,0,9072,0.0,50.0,49.5329022771014,4.810062979025653,962031,962031,962031,0,0.990658045542028,0.990658045542028,0.990658045542028,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,1,model_HRV_MCVNN,ecg_ratio,1103,971103,971103,0,0,0,13791,0.0,1.3624244928359985,0.0737075426534996,0.11217373975559017,0,0,0,0,0.0,0.0,0.0,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,2,model_HRV_CVNN,ecg_ratio,1103,971103,971103,0,0,0,9146,0.0,7.933568477630615,0.10476876178543947,0.1910472916697887,54,0,0,0,5.560687177364296e-05,0.0,0.0,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,3,model_HRV_CVSD,ecg_ratio,1103,971103,971103,0,0,0,9146,0.0,11.272520065307617,0.10251185346886134,0.21610902487304595,82,1,0,0,8.444006454516153e-05,1.0297568846970918e-06,0.0,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,4,model_HRV_pNN20,ecg_percent,1103,971103,971103,0,0,0,25506,0.0,50.0,31.166310779322348,18.33067595454038,847587,774601,651664,0,0.872808548629754,0.797650712643252,0.6710554905092456,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,5,model_log_HRV_LF,ecg_existing_log,1103,971103,971103,0,0,0,9133,-27.63102149963379,21.506553649902344,6.398933887369861,2.432154616194658,749901,53211,130,0,0.7722157175912339,0.054794393591616954,0.00013386839501062194,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,6,model_log_HRV_HF,ecg_existing_log,1103,971103,971103,0,0,0,9072,-27.63102149963379,17.63233757019043,6.030298753420928,2.397259329120116,633109,68416,74,0,0.6519483515136911,0.07045184702343624,7.62020094675848e-05,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,7,model_HRV_HF_rel_LFHF,ecg_fraction,1103,971103,971103,0,0,0,9133,0.0,1.0,0.41816732949651947,0.24684286277688056,0,0,0,0,0.0,0.0,0.0,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,8,model_HRV_SD1SD2,ecg_ratio,1103,971103,971103,0,0,0,9146,0.0,24.46072006225586,0.48876193338499935,0.3751336087544887,433,63,2,0,0.0004458847310738408,6.487468373591679e-05,2.0595137693941835e-06,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
global,,all,small_I0002,legacy_clip,X_ecg,9,model_HRV_Symbolic_EqualProb4_0V,ecg_fraction,1103,971103,971103,0,0,0,11984,0.0,1.0,0.31716991980138554,0.17521431454291442,0,0,0,0,0.0,0.0,0.0,0.0,"X_seq real epochs; X_ecg only min(T_ecg,T_seq-10) consumed windows; x_static once per record; collate padding and pre-offset ECG zeros excluded"
