site,position,x_static_index,feature_name,feature_group,valid_n,missing_n,missing_rate,median,q25,q75,IQR
I0002,0,11,caisr_sleep_tst_sec,sleep_architecture,319,0,0.0,20070.0,16110.0,22575.0,6465.0
I0002,1,12,caisr_sleep_se,sleep_architecture,319,0,0.0,0.7201291918754578,0.5752100348472595,0.8129890561103821,0.23777902126312256
I0002,2,13,caisr_sleep_sol_sec,sleep_architecture,319,0,0.0,1260.0,660.0,2385.0,1725.0
I0002,3,14,caisr_sleep_rem_latency_sec,sleep_architecture,319,0,0.0,7170.0,4230.0,11115.0,6885.0
I0002,4,16,caisr_sleep_waso_sec,sleep_architecture,319,0,0.0,5610.0,3390.0,8880.0,5490.0
I0002,5,17,caisr_sleep_n1_pct,sleep_architecture,319,0,0.0,0.08295626193284988,0.057216132059693336,0.1254645511507988,0.06824841909110546
I0002,6,18,caisr_sleep_n2_pct,sleep_architecture,319,0,0.0,0.6372548937797546,0.5659656226634979,0.7007664442062378,0.13480082154273987
I0002,7,19,caisr_sleep_n3_pct,sleep_architecture,319,0,0.0,0.12757731974124908,0.05658934824168682,0.18069244921207428,0.12410310097038746
I0002,8,20,caisr_sleep_rem_pct,sleep_architecture,319,0,0.0,0.13926498591899872,0.08777691796422005,0.19019053876399994,0.10241362079977989
I0002,9,32,caisr_sleep_transition_rate,fragmentation_uncertainty,319,0,0.0,18.542274475097656,14.569798469543457,23.596050262451172,9.026251792907715
I0002,10,34,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,319,0,0.0,0.478723406791687,0.4224759638309479,0.535973072052002,0.11349710822105408
I0002,11,87,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,319,0,0.0,0.4777405560016632,0.43383151292800903,0.5313698947429657,0.09753838181495667
I0002,12,96,caisr_arousal_arousal_index,arousal,319,0,0.0,40.4671516418457,29.22531032562256,51.72100639343262,22.49569606781006
I0002,13,97,caisr_arousal_arousal_burden_ratio,arousal,319,0,0.0,0.08255484700202942,0.05834454856812954,0.10841114446520805,0.050066595897078514
I0002,14,98,caisr_arousal_mean_arousal_duration,arousal,319,0,0.0,7.362500190734863,6.820956707000732,7.934433698654175,1.1134769916534424
I0002,15,126,caisr_respiratory_respiratory_event_index,respiratory,319,0,0.0,37.88461685180664,25.735899925231934,54.58321189880371,28.847311973571777
I0002,16,127,caisr_respiratory_respiratory_burden_ratio,respiratory,319,0,0.0,0.16392694413661957,0.1082785576581955,0.24146658182144165,0.13318802416324615
I0002,17,141,caisr_respiratory_mean_resp_duration,respiratory,319,0,0.0,15.545454978942871,13.992647171020508,17.173213958740234,3.1805667877197266
I0002,18,168,caisr_limb_limb_movement_index,limb,319,0,0.0,119.58763122558594,60.89353942871094,209.38909149169922,148.49555206298828
I0002,19,173,caisr_limb_plmi,limb,319,0,0.0,74.95268249511719,34.07297325134277,132.97238159179688,98.8994083404541
I0006,0,11,caisr_sleep_tst_sec,sleep_architecture,1142,0,0.0,19110.0,16380.0,21112.5,4732.5
I0006,1,12,caisr_sleep_se,sleep_architecture,1142,0,0.0,0.7554650604724884,0.6463387310504913,0.8375850915908813,0.19124636054039001
I0006,2,13,caisr_sleep_sol_sec,sleep_architecture,1142,0,0.0,1260.0,750.0,2190.0,1440.0
I0006,3,14,caisr_sleep_rem_latency_sec,sleep_architecture,1142,0,0.0,6165.0,3720.0,10882.5,7162.5
I0006,4,16,caisr_sleep_waso_sec,sleep_architecture,1142,0,0.0,4245.0,2497.5,6690.0,4192.5
I0006,5,17,caisr_sleep_n1_pct,sleep_architecture,1142,0,0.0,0.07428969442844391,0.04975368920713663,0.10849815234541893,0.0587444631382823
I0006,6,18,caisr_sleep_n2_pct,sleep_architecture,1142,0,0.0,0.6853267252445221,0.6084774434566498,0.7649146616458893,0.1564372181892395
