seed,arm,train_ac_auroc,train_auroc,train_auprc,holdout_ac_auroc,holdout_auroc,holdout_auprc
7,P3_compact30,0.7478576743970667,0.8477539070818008,0.33623844855642343,0.5439121831606545,0.766791966282837,0.27030274111341895
7,P3_compact35,0.7551150583633114,0.85123067562724,0.3402518886073756,0.538607143372856,0.7631628770715503,0.26287934892346104
7,P3_demo10,0.608047049370592,0.7960204635365996,0.2625116021223579,0.5373614099382382,0.7775772286362059,0.24893998532499373
7,P3_global59,0.7883680123016683,0.8701264387596224,0.3434443629143451,0.5373786696801858,0.7622369085841018,0.24689959528881697
7,P3_stage155,0.833137518466252,0.8890812947762324,0.3932708780815948,0.45291883877335465,0.7346261972123181,0.22913602411890588
17,P3_compact30,0.7389835021788708,0.8430873798671823,0.33381354019713977,0.5621307692532382,0.7545936316884448,0.26082453550035956
17,P3_compact35,0.7462827722518636,0.8451855271449236,0.3331825138422875,0.5537071832123237,0.7526911992927389,0.2596228281272219
17,P3_demo10,0.5991586240360257,0.7974886548403729,0.24162454111433918,0.5866521931674499,0.767333091606484,0.2571255935166754
17,P3_global59,0.7824998544800765,0.8668790481602486,0.33504883424379495,0.5753917260253955,0.757003031451827,0.26274879736767826
17,P3_stage155,0.8191070937476344,0.8858292815985062,0.3889062307704763,0.4985357501560383,0.7308865705434023,0.2229072435414946
29,P3_compact30,0.7413611890692619,0.8443700818131941,0.35138793491096926,0.6369508375926966,0.7937618020577663,0.31870038587176003
29,P3_compact35,0.7468868501690817,0.8471028558445407,0.3495944608382599,0.6269938579818333,0.7906131818687872,0.3139651826435151
29,P3_demo10,0.6326503439690194,0.7996820512138564,0.2714624013211518,0.5776710064571619,0.7818111717214856,0.27281843016360147
29,P3_global59,0.7782410698236141,0.8657961160454523,0.347583606882973,0.6584290253854764,0.7959042037517374,0.26167946163012756
29,P3_stage155,0.8259497505924269,0.8926468015675307,0.42103967358602684,0.5302402477816842,0.744976398788058,0.23290449246421577
