2026-09-10 13:45:47 | INFO    | p4_legacy_lstm_cv | START outer_seed=7 fold=2 train=489 holdout=244 fixed_val=158 model_seed=7
2026-09-10 13:45:47 | INFO    | train_lstm | Balanced train sampler enabled: class_counts={0: 455, 1: 34} missing=0 num_samples=489 replacement=True
2026-09-10 13:45:47 | INFO    | p4_legacy_lstm_cv | first_batch X_seq shape=(8, 1057, 483) min=-32.9254 max=50.0000
2026-09-10 13:45:47 | INFO    | p4_legacy_lstm_cv | first_batch X_ecg shape=(8, 1057, 12) min=-9.7052 max=50.0000
2026-09-10 13:45:47 | INFO    | p4_legacy_lstm_cv | first_batch x_static shape=(8, 196) min=-50.0000 max=50.0000
2026-09-10 13:46:07 | INFO    | p4_legacy_lstm_cv | epoch=1 loss=25.707041 val_ac=0.586207 val_auroc=0.559361 val_auprc=0.100682 lr=0.001 improved=True time=19.3s
2026-09-10 13:46:29 | INFO    | p4_legacy_lstm_cv | epoch=2 loss=4.157863 val_ac=0.719828 val_auroc=0.710046 val_auprc=0.137896 lr=0.001 improved=True time=21.9s
2026-09-10 13:46:49 | INFO    | p4_legacy_lstm_cv | epoch=3 loss=2.166982 val_ac=0.547414 val_auroc=0.548516 val_auprc=0.155209 lr=0.001 improved=False time=20.2s
2026-09-10 13:47:11 | INFO    | p4_legacy_lstm_cv | epoch=4 loss=2.040992 val_ac=0.607759 val_auroc=0.595890 val_auprc=0.176705 lr=0.001 improved=False time=21.6s
2026-09-10 13:47:32 | INFO    | p4_legacy_lstm_cv | epoch=5 loss=2.120068 val_ac=0.564655 val_auroc=0.577626 val_auprc=0.191972 lr=0.001 improved=False time=21.2s
2026-09-10 13:47:53 | INFO    | p4_legacy_lstm_cv | epoch=6 loss=1.918147 val_ac=0.603448 val_auroc=0.671804 val_auprc=0.204519 lr=0.001 improved=False time=21.4s
2026-09-10 13:48:16 | INFO    | p4_legacy_lstm_cv | epoch=7 loss=2.033119 val_ac=0.650862 val_auroc=0.684361 val_auprc=0.226197 lr=0.001 improved=False time=22.5s
2026-09-10 13:48:37 | INFO    | p4_legacy_lstm_cv | epoch=8 loss=1.516364 val_ac=0.655172 val_auroc=0.676370 val_auprc=0.206627 lr=0.001 improved=False time=20.8s
2026-09-10 13:48:58 | INFO    | p4_legacy_lstm_cv | epoch=9 loss=1.544501 val_ac=0.655172 val_auroc=0.618721 val_auprc=0.206950 lr=0.001 improved=False time=21.1s
2026-09-10 13:49:17 | INFO    | p4_legacy_lstm_cv | epoch=10 loss=1.505890 val_ac=0.681034 val_auroc=0.686073 val_auprc=0.188889 lr=0.001 improved=False time=19.8s
2026-09-10 13:49:40 | INFO    | p4_legacy_lstm_cv | epoch=11 loss=1.668759 val_ac=0.681034 val_auroc=0.697489 val_auprc=0.207743 lr=0.0005 improved=False time=22.2s
2026-09-10 13:50:00 | INFO    | p4_legacy_lstm_cv | epoch=12 loss=1.203142 val_ac=0.689655 val_auroc=0.668664 val_auprc=0.206587 lr=0.0005 improved=False time=20.1s
2026-09-10 13:50:21 | INFO    | p4_legacy_lstm_cv | epoch=13 loss=1.246447 val_ac=0.657328 val_auroc=0.669521 val_auprc=0.198940 lr=0.0005 improved=False time=21.5s
2026-09-10 13:50:44 | INFO    | p4_legacy_lstm_cv | epoch=14 loss=0.980881 val_ac=0.577586 val_auroc=0.625856 val_auprc=0.165547 lr=0.0005 improved=False time=23.2s
2026-09-10 13:51:06 | INFO    | p4_legacy_lstm_cv | epoch=15 loss=0.985688 val_ac=0.590517 val_auroc=0.627283 val_auprc=0.160045 lr=0.0005 improved=False time=21.4s
2026-09-10 13:51:26 | INFO    | p4_legacy_lstm_cv | epoch=16 loss=1.391468 val_ac=0.560345 val_auroc=0.593607 val_auprc=0.144874 lr=0.0005 improved=False time=20.5s
2026-09-10 13:51:47 | INFO    | p4_legacy_lstm_cv | epoch=17 loss=0.751517 val_ac=0.500000 val_auroc=0.565068 val_auprc=0.133766 lr=0.0005 improved=False time=20.3s
2026-09-10 13:51:47 | INFO    | p4_legacy_lstm_cv | early_stop epoch=17 best_epoch=2
2026-09-10 13:52:23 | INFO    | p4_legacy_lstm_cv | Both complete checkpoints frozen; constructing outer holdout loader now
2026-09-10 13:52:29 | INFO    | p4_legacy_lstm_cv | best_val_ac outer_holdout ac=0.731107 auroc=0.718129 auprc=0.166226
2026-09-10 13:52:36 | INFO    | p4_legacy_lstm_cv | fixed_epoch6 outer_holdout ac=0.662566 auroc=0.691462 auprc=0.154210
