scope,site,fold,role,branch,index,name,family,records,total_observations,finite_observations,nan_count,posinf_count,neginf_count,recognizable_missing_count,unknown_missing_marker,zero_fraction_finite,negative_fraction_finite,equal_neg50_fraction_finite,equal_pos50_fraction_finite,below_neg50_fraction_finite,above_pos50_fraction_finite,flattened_by_old_clip_fraction_finite,min,max,mean,std,iqr_approx,old_clip_std_approx,old_clip_iqr_approx,sample_n,quantile_method,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,subject_equal_p0_1,subject_equal_p1,subject_equal_p5,subject_equal_p25,subject_equal_p50,subject_equal_p75,subject_equal_p95,subject_equal_p99,subject_equal_p99_9,record_clip_fraction_p50,record_clip_fraction_p95,record_clip_fraction_max,top_values_sample
global,,small_I0002,all,X_seq,0,eeg_F3-M2_logP2P1,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.018980561010616022,0.0,0.0,0.0,0.0,0.0,-1.355405330657959,3.100221633911133,1.1130370935440403,0.5348657200456957,0.7428951411315314,0.5367053258091957,0.7428951411315314,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-0.4584142609649632,-0.13542265410968238,0.0408485501372319,0.761013103259826,1.1670164714813231,1.5039082443913574,1.8856008972440448,2.1236423462422835,2.4078249213638174,-0.458213697552681,-0.1403884008526802,0.028766619903679694,0.748697480665365,1.1587660240090416,1.4968017935752869,1.8825472354888908,2.122087845802301,2.406402552604643,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,1,eeg_F3-M2_logPsigmaPbeta,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.14093877185920659,0.0,0.0,0.0,0.0,0.0,-2.047595500946045,1.831493854522705,0.3860747819628273,0.35901546378378374,0.5224520129862499,0.3598746532807055,0.5224520129862499,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-0.7477815174164407,-0.44153630976344926,-0.20890969334239348,0.11761812997117106,0.39321080073547576,0.6400701429574209,0.9521126058285798,1.1617400075138056,1.3717137746313521,-0.743044205904007,-0.44165573835372923,-0.211995404958725,0.11332794878145933,0.3900204423388009,0.638084213842046,0.951277655363084,1.160339522361757,1.3698801627159423,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,2,eeg_F3-M2_logPalphaPbeta,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.08024732769801869,0.0,0.0,0.0,0.0,0.0,-2.9070932865142822,2.5765669345855713,0.6335123706321363,0.44517812783264193,0.6244011228548134,0.4466095331651328,0.6244011228548134,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-0.8280153407560927,-0.4405104541073493,-0.13552169697966068,0.3255872713047941,0.6658713140347504,0.9499883941596075,1.3028669389470224,1.5359160628532653,1.8695097690952003,-0.8158300449848175,-0.4408038353919983,-0.13996787631150448,0.3179920408212149,0.6617816459205941,0.9475507654926995,1.301906025409699,1.535439782142641,1.862824201583931,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,3,eeg_F3-M2_logPthetaPbeta,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.08723759803861776,0.0,0.0,0.0,0.0,0.0,-2.102254867553711,2.857712507247925,0.7399434727689654,0.5280472264823901,0.7788583420715502,0.5315117797601674,0.7788583420715502,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-1.013755255477245,-0.5300012458753093,-0.18012447288013853,0.3551003736292671,0.7844494468842493,1.1339587157008173,1.5154078665152115,1.7404848555406742,2.0307252736529264,-1.007535587310791,-0.5289911162853241,-0.18101258228222528,0.34872493536575977,0.7798427551081691,1.1318851026621737,1.514574253559115,1.739567375183115,2.0188124771118865,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,4,eeg_F3-M2_logPdeltaPbeta,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.02278317862646321,0.0,0.0,0.0,0.0,0.0,-3.0301082134246826,3.619391918182373,1.2720422690640654,0.6728130898154238,0.9705655979005032,0.6755514895146637,0.9705655979005032,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-0.677700435332986,-0.25301858436800667,0.008283319397811677,0.7926923173268636,1.295735414191468,1.7632579152273669,2.3207063786549402,2.617942335651964,2.900094096337342,-0.670040066242218,-0.2459995412826538,0.0007416506605566663,0.7895192928386457,1.2920333703358973,1.7619097406213946,2.3214593172073372,2.6202595186233553,2.9013865833283727,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,5,eeg_F3-M2_SEF50,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,13.336835075564446,5.812399447209697,6.0,5.879344094896734,6.0,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,8.0,10.0,11.5,16.0,25.5,32.0,37.0,0.0,0.0,8.0,10.0,11.5,16.0,25.5,32.0,37.0,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,6,eeg_F3-M2_logP0,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,8.335061333853767e-05,0.0,0.0,0.0,0.0,0.0,-4.451046943664551,3.282308340072632,2.207386749902055,0.4460515570918435,0.37303890456880406,0.45062076695865416,0.37303890456880406,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,1.7163213207108272,2.0735930205130533,2.267752143437277,2.4466319250818573,2.6803006961067104,2.806128296038862,2.9399344797316362,0.0,0.0,1.7027523783041711,2.071203805146952,2.2664506911289077,2.4459543891260904,2.6796192303947763,2.805250554084771,2.9390400104522385,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,7,eeg_F3-M2_logPbeta,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.03320302176467479,0.0,0.0,0.0,0.0,0.0,-5.989169120788574,2.5515289306640625,0.6233260504465535,0.4062822744872328,0.5744242190579205,0.41344421482121196,0.5744242190579205,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-0.9623302362588737,-0.13588657297628343,0.0,0.32879573908849263,0.5984029181166419,0.9032199581464132,1.3556470673654797,1.6185875357785537,1.8572882374496709,-1.2206362128257757,-0.15754299789667128,0.0,0.32648255522700315,0.5986139851547287,0.9055390849886208,1.3564236837884638,1.6183822163291597,1.8544421730041383,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,8,eeg_F3-M2_logP1,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.02576957011412935,0.36761076483335975,0.0,0.0,0.0,0.0,0.0,-4.843758583068848,2.757394552230835,0.23700370785321903,0.525691424014827,0.7389676474181309,0.5297982009945641,0.7389676474181309,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-1.3526132493531315,-0.66084901106985,-0.4841522690237846,-0.14957083233698146,0.15244343502078941,0.5893968150811495,1.2267505560172505,1.6128371968456061,1.9514409328669342,-1.367911880493164,-0.6594902002811431,-0.4838707902852227,-0.14634501053528357,0.1579229325075709,0.595203139117584,1.230883273227098,1.6177823240860647,1.951387801647185,0.0,0.0,0.0,
global,,small_I0002,all,X_seq,9,eeg_F4-M1_logP2P1,eeg_spectral,1103,983796,983796,0,0,0,,zeros_ambiguous,0.04075235109717868,0.016231007241338653,0.0,0.0,0.0,0.0,0.0,-1.9619077444076538,2.9871439933776855,1.1265869665019197,0.5464361354374656,0.7633569252618443,0.5478972719220094,0.7633569252618443,70248,deterministic_uniform_per_record_cap_64_weighted_by_record_length,-0.49710997060842615,-0.09473086827889732,0.0,0.7705192737313299,1.1981359404763428,1.5338761989931742,1.8924347078759143,2.108864620466312,2.3324549399119943,-0.4968755263090134,-0.10256330353292549,0.0,0.7598400238081714,1.1892929172170348,1.5281708240509033,1.8885060310363768,2.108837146759033,2.3290272827148426,0.0,0.0,0.0,
